file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,6e771d64,kylechoi101,2025-04-10,17:04:12,-07:00,2025-04-10T17:04:12-07:00,0,17
style.css,54,css,86a818e8,kylechoi101,2025-04-10,17:00:20,-07:00,2025-04-10T17:00:20-07:00,0,0
style.css,55,css,86a818e8,kylechoi101,2025-04-10,17:00:20,-07:00,2025-04-10T17:00:20-07:00,0,0
style.css,56,css,86a818e8,kylechoi101,2025-04-10,17:00:20,-07:00,2025-04-10T17:00:20-07:00,0,14
style.css,57,css,86a818e8,kylechoi101,2025-04-10,17:00:20,-07:00,2025-04-10T17:00:20-07:00,0,46
style.css,58,css,86a818e8,kylechoi101,2025-04-10,17:00:20,-07:00,2025-04-10T17:00:20-07:00,0,21
style.css,59,css,2d71e601,kylechoi101,2025-04-18,15:15:12,-07:00,2025-04-18T15:15:12-07:00,0,70
style.css,60,css,86a818e8,kylechoi101,2025-04-10,17:00:20,-07:00,2025-04-10T17:00:20-07:00,0,0
style.css,61,css,d2c50374,kylechoi101,2025-04-10,19:22:58,-07:00,2025-04-10T19:22:58-07:00,0,0
style.css,62,css,693234d8,kylechoi101,2025-04-10,18:58:33,-07:00,2025-04-10T18:58:33-07:00,0,5
style.css,63,css,693234d8,kylechoi101,2025-04-10,18:58:33,-07:00,2025-04-10T18:58:33-07:00,0,13
style.css,64,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,81
style.css,65,css,693234d8,kylechoi101,2025-04-10,18:58:33,-07:00,2025-04-10T18:58:33-07:00,0,8
style.css,66,css,20f49735,kylechoi101,2025-04-10,19:14:18,-07:00,2025-04-10T19:14:18-07:00,0,0
style.css,67,css,693234d8,kylechoi101,2025-04-10,18:58:33,-07:00,2025-04-10T18:58:33-07:00,0,0
style.css,68,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,53
style.css,69,css,20f49735,kylechoi101,2025-04-10,19:14:18,-07:00,2025-04-10T19:14:18-07:00,0,13
style.css,70,css,9661c92a,kylechoi101,2025-04-10,20:18:14,-07:00,2025-04-10T20:18:14-07:00,0,13
style.css,71,css,9661c92a,kylechoi101,2025-04-10,20:18:14,-07:00,2025-04-10T20:18:14-07:00,0,30
style.css,72,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,19
style.css,73,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,11
style.css,74,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,0
style.css,75,css,4f14aa70,kylechoi101,2025-04-10,17:15:53,-07:00,2025-04-10T17:15:53-07:00,0,0
style.css,76,css,693234d8,kylechoi101,2025-04-10,18:58:33,-07:00,2025-04-10T18:58:33-07:00,0,0
style.css,77,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,41
style.css,78,css,2556e935,kylechoi101,2025-04-10,20:01:00,-07:00,2025-04-10T20:01:00-07:00,0,12
style.css,79,css,2556e935,kylechoi101,2025-04-10,20:01:00,-07:00,2025-04-10T20:01:00-07:00,0,16
style.css,80,css,693234d8,kylechoi101,2025-04-10,18:58:33,-07:00,2025-04-10T18:58:33-07:00,0,13
style.css,81,css,1e563042,kylechoi101,2025-04-10,19:37:14,-07:00,2025-04-10T19:37:14-07:00,0,12
style.css,82,css,9661c92a,kylechoi101,2025-04-10,20:18:14,-07:00,2025-04-10T20:18:14-07:00,0,19
style.css,83,css,1e563042,kylechoi101,2025-04-10,19:37:14,-07:00,2025-04-10T19:37:14-07:00,0,11
style.css,84,css,b5f20b77,kylechoi101,2025-04-10,19:21:16,-07:00,2025-04-10T19:21:16-07:00,0,0
style.css,85,css,b5f20b77,kylechoi101,2025-04-10,19:21:16,-07:00,2025-04-10T19:21:16-07:00,0,0
style.css,86,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,56
style.css,87,css,b5f20b77,kylechoi101,2025-04-10,19:21:16,-07:00,2025-04-10T19:21:16-07:00,0,14
style.css,88,css,b5f20b77,kylechoi101,2025-04-10,19:21:16,-07:00,2025-04-10T19:21:16-07:00,0,13
style.css,89,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,60
style.css,90,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,67
style.css,91,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,64
style.css,92,css,b5f20b77,kylechoi101,2025-04-10,19:21:16,-07:00,2025-04-10T19:21:16-07:00,0,0
style.css,93,css,7a884955,kylechoi101,2025-04-11,16:45:00,-07:00,2025-04-11T16:45:00-07:00,0,10
style.css,94,css,ea926a5d,kylechoi101,2025-04-10,20:10:13,-07:00,2025-04-10T20:10:13-07:00,0,13
style.css,95,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,67
style.css,96,css,f5a31b26,kylechoi101,2025-04-11,20:20:55,-07:00,2025-04-11T20:20:55-07:00,0,59
style.css,97,css,42724aa0,kylechoi101,2025-04-11,17:04:57,-07:00,2025-04-11T17:04:57-07:00,0,8
style.css,98,css,ea926a5d,kylechoi101,2025-04-10,20:10:13,-07:00,2025-04-10T20:10:13-07:00,0,0
style.css,99,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,0
style.css,100,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,20
style.css,101,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,67
style.css,102,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,13
style.css,103,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,22
style.css,104,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,19
style.css,105,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,8
style.css,106,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,33
style.css,107,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,22
style.css,108,css,ea926a5d,kylechoi101,2025-04-10,20:10:13,-07:00,2025-04-10T20:10:13-07:00,0,0
style.css,109,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,0
style.css,110,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,24
style.css,111,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,53
style.css,112,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,11
style.css,113,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,76
style.css,114,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,12
style.css,115,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,14
style.css,116,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,0
style.css,117,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,0
style.css,118,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,15
style.css,119,css,9661c92a,kylechoi101,2025-04-10,20:18:14,-07:00,2025-04-10T20:18:14-07:00,0,9
style.css,120,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,0
style.css,121,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,0
style.css,122,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,10
style.css,123,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,11
style.css,124,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,21
style.css,125,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,13
style.css,126,css,f5f249d5,kylechoi101,2025-04-12,09:57:51,-07:00,2025-04-12T09:57:51-07:00,0,26
style.css,127,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,10
style.css,128,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,18
style.css,129,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,0
style.css,130,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,0
style.css,131,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,35
style.css,132,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,15
style.css,133,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,16
style.css,134,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,26
style.css,135,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,9
style.css,136,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,0
style.css,137,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,0
style.css,138,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,40
style.css,139,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,20
style.css,140,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,21
style.css,141,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,31
style.css,142,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,27
style.css,143,css,f5f249d5,kylechoi101,2025-04-12,09:57:51,-07:00,2025-04-12T09:57:51-07:00,0,16
style.css,144,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,10
style.css,145,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,17
style.css,146,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,42
style.css,147,css,c787b88a,kylechoi101,2025-04-12,09:50:43,-07:00,2025-04-12T09:50:43-07:00,0,0
style.css,148,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,0
style.css,149,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,32
style.css,150,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,12
style.css,151,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,15
style.css,152,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,12
style.css,153,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,18
style.css,154,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,17
style.css,155,css,adf03e2d,kylechoi101,2025-04-18,13:10:27,-07:00,2025-04-18T13:10:27-07:00,0,0
